id,nome (marca),nome generico,laboratorio,quantidade,preco
528,Cold relief,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",Meijer Distribution Inc,23,$91.36
529,PredniSONE,PredniSONE,"NCS HealthCare of KY, Inc dba Vangard Labs",67,$188.74
530,Ropinirole Hydrochloride,Ropinirole Hydrochloride,"Zhejiang Huahai Pharmaceutical Co., Ltd.",55,$162.38
531,Ciprofloxacin,Ciprofloxacin,"Watson Pharma, Inc.",56,$186.32
532,Stool Softener,DOCUSATE SODIUM,Target Corporation,28,$115.49
533,CAREONE BACITRACIN,BACITRACIN,AMERICAN SALES COMPANY,16,$30.10
534,ACER NEGUNDO POLLEN,Box Elder Ash Leaf Maple,"ALK-Abello, Inc.",44,$186.69
535,FLAWLESS SKIN MAKEUP BROAD SPECTRUM SPF 15,"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",PRESCRIPTIVES INC.,86,$152.36
536,Spa Originals Antibacterial Gold Hand,TRICLOSAN,"Custom Solutions, Inc",18,$44.81
537,Blossom HP 3,Hydrogen peroxide,Blossom Pharmaceuticals,34,$121.75
538,Meloxicam,meloxicam,Mylan Pharmaceuticals Inc.,42,$168.79
539,VERELAN PM,verapamil hydrochloride,Bryant Ranch Prepack,41,$164.29
540,Valacyclovir Hydrochloride,Valacyclovir Hydrochloride,"Roxane Laboratories, Inc",59,$64.20
541,Head and Shoulders 2in1,Pyrithione Zinc,Procter & Gamble Manufacturing Co.,90,$32.17
542,Hemorrhoidal,"cocoa butter, phenylephrine HCl",Walgreen Company,6,$146.00
543,Montelukast Sodium,Montelukast Sodium,Dr.Reddy's Laboratories Limited,2,$6.87
544,ZOMIG ZMT,Zolmitriptan,AstraZeneca Pharmaceuticals LP,14,$191.42
545,DYSPEPSIA,MENTHOL,Natural Health Supply,73,$192.21
546,Oxazepam,Oxazepam,Actavis Elizabeth LLC,13,$19.86
547,Pain Relief,Acetaminophen,Meijer Distribution Inc,25,$58.19
548,CLADOSPORIUM SPHAEROSPERMUM,CLADOSPORIUM SPHAEROSPERMUM,"ALK-Abello, Inc.",81,$5.66
549,Buspirone hydrochloride,Buspirone hydrochloride,Zydus Pharmaceuticals (USA) Inc.,18,$7.73
550,Epirubicin Hydrochloride,Epirubicin Hydrochloride,"Amneal-Agila, LLC",42,$118.40
551,Cefuroxime Axetil,Cefuroxime Axetil,Wockhardt USA LLC.,92,$97.76
552,Zicam Naturals Cough Suppressant,Mentha Piperita,"Matrixx Initiatives, Inc.",73,$3.73
553,Bio Vine,Not applicable,"BioActive Nutritional, Inc.",16,$104.94
554,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride,Pfizer Laboratories Div Pfizer Inc,73,$160.25
555,Rescue 5,"Cherry Plum, Clematis, Impatiens, Rose Rose, Star of Bethlehem","Energique, Inc.",18,$60.69
556,Phenylephrine Hydrochloride,Phenylephrine Hydrochloride,"American Regent, Inc.",33,$18.76
557,LenzaPatch,"LIDOCAINE HYDROCHLORIDE, MENTHOL",Proficient Rx LP,73,$183.54
558,ROBITUSSIN PEAK COLD DAYTIME COLD PLUS FLU,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, and PHENYLEPHRINE HYDROCHLORIDE",Richmond Division of Wyeth,95,$180.49
559,Atropine Sulfate,Atropine Sulfate,"American Regent, Inc.",36,$78.97
560,Nicotine Polacrilex,Nicotine Polacrilex,Be Better Networks,70,$143.91
561,AHC Phyto Complex Gel Ampoule,Arbutin 2%,"Carver Korea Co.,Ltd",55,$149.14
562,Vitamin A D,Petrolatum,"Chain Drug Consortium, LLC",42,$80.86
563,Robinul,Robinul,West-ward Pharmaceutical Corp.,42,$72.59
564,Isosorbide Mononitrate,Isosorbide Mononitrate,Zydus Pharmaceuticals (USA) Inc.,21,$142.88
565,RESTORIL,temazepam,"Mallinckrodt, Inc.",68,$105.35
566,Doxycycline Hyclate,Doxycycline Hyclate,"PD-Rx Pharmaceuticals, Inc.",97,$12.88
567,Smart Sense ibuprofen,Ibuprofen,Kmart Corporation,11,$174.79
568,United Lab Antibac,Triclosan,"Deb USA, Inc.",81,$191.59
569,Melafadin Day Protection,"Titanium Dioxide, Octinoxate, Octocrylene",Janssen Cosmetics GmbH,99,$175.96
570,Metformin Hydrochloride,Metformin Hydrochloride,MARKSANS PHARMA LIMITED,47,$147.76
571,OLUX,clobetasol propionate,"Physicians Total Care, Inc.",55,$145.53
572,quetiapine fumarate,quetiapine fumarate,Apotex Corp.,61,$113.24
573,Good Neighbor Pharmacy Childrens Ibuprofen,Ibuprofen,Amerisource Bergen,49,$125.93
574,LOreal Paris true match super blendable compact makeup Broad Spectrum SPF 17,Octinoxate,L'Oreal USA Products Inc,16,$108.41
575,Care One Pain Relief,Acetaminophen,American Sales Company,86,$167.12
576,West Cottonwood,West Cottonwood,"Nelco Laboratories, Inc.",67,$126.09
577,Clean Choice Antibacterial,Chloroxylenol,"Deb USA, Inc.",3,$121.84
578,Metoclopramide,metoclopramide,Qualitest Pharmaceuticals,36,$189.87
579,Quetiapine Fumarate,Quetiapine Fumarate,Teva Pharmaceuticals USA Inc,14,$186.84
580,Prednisone,Prednisone,"PD-Rx Pharmaceuticals, Inc.",83,$41.58
581,Levetiracetam,Levetiracetam,Rebel Distributors Corp,8,$191.81
582,"Pollens - Trees, Pecan Carya Carya illinoensis",Pecan Carya Carya illinoensis,Jubilant HollisterStier LLC,55,$130.13
583,Privet Pollen,Ligustrum vulgare,"Allermed Laboratories, Inc.",6,$68.55
584,Vitamin A D,"Lanolin, Petrolatum",American Sales Company,67,$77.53
585,INVEGA SUSTENNA,paliperidone palmitate,"Janssen Pharmaceuticals, Inc.",1,$38.49
586,Phenylephrine Hydrochloride,Phenylephrine Hydrochloride,A-S Medication Solutions LLC,16,$127.60
587,Sildenafil,Sildenafil citrate,"Watson Laboratories, Inc.",29,$148.38
588,UROGESIC BLUE,"METHENAMINE, SODIUM PHOSPHATE, MONOBASIC, METHYLENE BLUE, and HYOSCYAMINE SULFATE","EDWARDS PHARMACEUTICALS, INC.",9,$48.51
589,PVP Scrub,Povidone-Iodine,"Chester Packaging, LLC",57,$109.14
590,SANIFOAM HAND SANITIZER,ALCOHOL,AMERICAN CHEMICAL AND SANITARY SUPPLY INC,70,$25.78
591,Benicar HCT,olmesartan medoxomil-hydrochlorothiazide,"Daiichi Sankyo, Inc.",91,$149.76
592,SINECCHi,ARNICA MONTANA,"Hahnemann Laboratories, Inc. dba Alpine Pharmaceuticals",26,$80.09
593,Salt Grass,Salt Grass,"Nelco Laboratories, Inc.",7,$141.53
594,Lorazepam,Lorazepam,Sandoz Inc,10,$115.40
595,Sertraline Hydrochloride,Sertraline Hydrochloride,"International Labs, Inc.",90,$37.12
596,Nevirapine,nevirapine,Mylan Pharmaceuticals Inc.,50,$74.38
597,Topiramate,Topiramate,West-Ward Pharmaceutical Corp,89,$8.31
598,POLYMYXIN B SULFATE and TRIMETHOPRIM SULFATE,"polymyxin B sulfate, trimethoprim sulfate",Clinical Solutions Wholesale,61,$15.74
599,The Original Mane n Tail Daily Control Anti Dandruff Conditioner,Pyrithione Zinc,"Straight Arrow Products, Inc.",46,$67.52
600,Maracuja Miracle Foundation 12-Hour Foundation Broad Spectrum SPF 15 Sunscreen,"Avobenzone, Octinoxate, Octisalate, and Oxybenzone","Tarte, Inc",87,$41.40
601,Meclizine Hydrochloride,Meclizine Hydrochloride,A-S Medication Solutions LLC,81,$24.23
602,Freshorize,Alcohol,"Freshorize, Ltd.",35,$48.44
603,Good Neighbor Pharmacy Nicotine,Nicotine Polacrilex,Amerisource Bergen,26,$190.93
604,OXYGEN,OXYGEN,Lynarc Welding Supplies & Material Inc.,94,$173.87
605,CORTEF,hydrocortisone,Pharmacia and Upjohn Company,91,$59.91
606,Carvedilol,Carvedilol,Clinical Solutions Wholesale,87,$126.61
607,Xylocaine,LIDOCAINE HYDROCHLORIDE,"APP Pharmaceuticals, LLC",49,$44.90
608,Medroxyprogesterone Acetate,Medroxyprogesterone Acetate,Bryant Ranch Prepack,63,$130.84
609,Losartan potassium and hydrochlorothiazide,Losartan potassium and hydrochlorothiazide tablets,Sandoz Inc,69,$194.60
610,Argentum Bryophyllum,Argentum Bryophyllum,Uriel Pharmacy Inc.,22,$190.64
611,Glyburide and Metformin Hydrochloride,Glyburide and Metformin Hydrochloride,Citron Pharma LLC,55,$73.27
612,Sunscreen Broad Spectrum SPF 50,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",JAFRA COSMETICS INTERNATIONAL,10,$113.59
613,Travoprost Ophthalmic Solution 0.004%,travoprost,"Par Pharmaceutical, Inc.",51,$44.02
614,amlodipine besylate and atorvastatin calcium,amlodipine besylate and atorvastatin calcium,Ranbaxy Pharmaceuticals Inc,77,$16.86
615,Ondansetron,Ondansetron,"Teva Parenteral Medicines, Inc.",51,$113.68
616,topiramate,topiramate,"Unichem Pharmaceuticals (USA), Inc.",14,$13.96
617,Loratadine,Loratadine,"Physicians Total Care, Inc.",98,$36.12
618,Mydriacyl,tropicamide,"Alcon Laboratories, Inc.",29,$191.62
619,ISOPROPYL RUBBING ALCOHOL WITH WINTERGREEN OIL,Isopropyl Alcohol,Pioneer Associates,5,$184.75
620,Acclean,Sodium Flouride,Henry Schein Inc.,15,$56.56
621,Baby SensiGel Night Time Formula,BENZOCAINE,"Dr. Fresh, Inc",36,$121.40
622,citalopram hydrobromide,citalopram hydrobromide,"PD-Rx Pharmaceuticals, Inc.",56,$73.28
623,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,"PD-Rx Pharmaceuticals, Inc.",96,$188.16
624,AllerguEase Food and Chemical,"Allium sativum, Anacardium orientale, Apis mellifica, Gambogia, Mercuris solubilis, Natrum carbonicum, Nitricum acidum, Nux vomica, Phosphorus, Pulsatilla, Sulphur","Native Remedies, LLC",73,$72.24
625,Gabapentin,GABAPENTIN,AvPAK,2,$194.96
626,Phenazopyridine HCl,Phenazopyridine HCl,"Boca Pharmacal, Inc",94,$44.98
627,Solodyn,minocycline hydrochloride,Medicis Pharmaceutical Corp.,100,$3.95
628,Lisinopril and hydrochlorothiazide,Lisinopril and hydrochlorothiazide,REMEDYREPACK INC.,28,$107.38
629,POTASSIUM CITRATE,POTASSIUM CITRATE,"Rising Pharmaceuticals, Inc.",36,$93.14
630,Atenolol,Atenolol,Zydus Pharmaceuticals (USA) Inc.,65,$193.36
631,CARE ONE,ETHYL ALCOHOL,AMERICAN SALES COMPANY,57,$83.88
632,Anagallis Taraxacum,Aanagallis Taraxacum,Uriel Pharmacy Inc.,57,$63.82
633,TISSEEL,fibrinogen human and thrombin human,Baxter Healthcare Corporation,97,$185.75
634,Naphazoline Hydrochloride and Pheniramine Maleate,Naphazoline Hydrochloride and Pheniramine Maleate,"Akorn, Inc.",52,$182.14
635,Aloe Up,"Avobenzone, Octisalate, and Octocrylene","Prime Packaging, Inc.",77,$6.94
636,Naproxen Sodium,Naproxen Sodium,State of Florida DOH Central Pharmacy,90,$169.76
637,Famotidine,Famotidine,Dr.Reddy's Laboratories Limited,64,$75.37
638,Conju Princess UV Sun Block,ETHYLHEXYL METHOXYCINNAMATE,Conju Inc,85,$101.34
639,Goodys,"acetaminophen, aspirin, and caffeine",GlaxoSmithKline Consumer Healthcare LP,14,$80.82
640,Paroxetine,Paroxetine Hydrochloride,REMEDYREPACK INC.,58,$79.12
641,Glyburide,glyburide,"Aphena Pharma Solutions - Tennessee, LLC",50,$50.97
642,Halobetasol Propionate,halobetasol propionate,"E. FOUGERA & CO., A division of Fougera Pharmaceuticals Inc.",16,$135.63
643,Derma 1 Healthcare Hand Wash,CHLOROXYLENOL,Woodbine Products Company,13,$48.44
644,Heartburn Relief,Ranitidine,H E B,73,$192.60
645,SHISEIDO SHEER AND PERFECT FOUNDATION,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICAS CORPORATION,72,$182.95
646,PHENERGAN,Promethazine Hydrochloride,"Prestium Pharma, Inc.",30,$155.80
647,Miconazole 1,Miconazole nitrate,CVS Pharmacy,98,$166.83
648,Movate Skin Lightening Lemon,HYDROQUINONE,International Beauty Exchange,79,$121.95
649,GaviLyte G,Polyethylene Glycol-3350 and Electrolytes,"GAVIS Pharmaceuticals, LLC",69,$169.86
650,DNA RNA,"Arnica montana, Avena sativa, Damiana, DNA, Korean Ginseng, Oleum animale, Pituitaria glandula (bovine), RNA, Thuja occidentalis,",ProBLEN,29,$66.55
651,Citalopram,Citalopram,American Health Packaging,23,$18.37
652,Promethazine Hydrochloride,Promethazine Hydrochloride,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",69,$108.98
653,Senna Laxative,SENNOSIDES,New World Imports,67,$134.35
654,ESIKA,"Octinoxate, Oxybenzone, and Titanium Dioxide","Ventura Corporation (San Juan, P.R)",36,$173.07
655,Crest 3D White,Sodium Fluoride,The Procter & Gamble Manufacturing Company,14,$110.93
656,Amoxicillin and Clavulanate Potassium,amoxicillin and clavulanate potassium,Rebel Distributors Corp,4,$42.17
657,Diltiazem Hydrochloride,DILTIAZEM HYDROCHLORIDE,REMEDYREPACK INC.,8,$97.77
658,Vicks Sinex,Oxymetazoline Hydrochloride,The Procter & Gamble Manufacturing Company,20,$128.93
659,Nimbex,Cisatracurium Besylate,AbbVie Inc.,41,$59.27
660,Oxygen,Oxygen,P & R Home IV Service,11,$16.72
661,BANANA BOAT,"AVOBENZONE, HOMOSALATE, OCTOCRYLENE, OXYBENZONE",Energizer Personal Care LLC,53,$120.97
662,Rough Marsh Elder,Rough Marsh Elder,"Nelco Laboratories, Inc.",50,$119.35
663,pain relief,Acetaminophen,CVS Pharmacy,79,$12.67
664,Renastat,"Berberis Vulgaris, Petroselinum Sativum, Sabal Serrulata, Uva Ursi, CAntharis, Lithium Carbonicum, Mercurius Corrosivus","Energique, Inc.",11,$142.75
665,ShopKo Cold Sore Treatment,Camphor,"ShopKo Stores Operating Co., LLC",13,$180.32
666,Alprazolam,Alprazolam,"PD-Rx Pharmaceuticals, Inc.",35,$178.61
667,Inderal,propranolol hydrochloride,"Akrimax Pharmaceuticals, LLC",56,$199.54
668,Metformin Hydrochloride,Metformin Hydrochloride,REMEDYREPACK INC.,41,$133.96
669,Grain and Seed Antigens,"Grain and Seed Antigen, Arsenicum Album, Lycopodium Clavatum, Natrum Muriaticum, Sulphur","BioActive Nutritional, Inc.",96,$119.31
670,"Food - Plant Source, Carrot Daucus carota",Carrot Daucus carota,Jubilant HollisterStier LLC,91,$171.84
671,Salicylic Acid,Medicated Callus Removers,Cardinal Health,90,$38.15
672,Quetiapine fumarate,Quetiapine fumarate,American Health Packaging,61,$11.26
673,HayFever Fighter,"Arsen iod , Euphrasia , Allium cepa , Wyethia , Kali bich , Sambucus",Feelgood Health,91,$40.25
674,Motrin IB,Ibuprofen,"McNeil Consumer Healthcare Div McNeil-PPC, Inc",98,$114.13
675,DG Health Cough DM,dextromethorphan polistirex,"Dolgencorp, LLC",82,$77.02
676,Family wellness Lice Treatment,"Piperonyl Butoxide, Pyrethrum Extract",Family Dollar Services Inc,84,$68.91
677,Lithium Carbonate,Lithium Carbonate,West-Ward Pharmaceutical Corp,90,$17.29
678,Berberis Vulgaris Kit Refill,BERBERIS VULGARIS ROOT BARK,Washington Homeopathic Products,20,$161.98
679,Good Neighbor Pharmacy Night Time,"acetaminophen, dextromethorphan hydrobromide and doxylamine succinate",Amerisource Bergen,22,$16.79
680,Terazosin,Terazosin Hydrochloride,Jubilant Cadista Pharmaceuticals Inc.,71,$110.25
681,Nausea and Motion Sickness,"Argentum nitricum, Bryonia, Cocculus indicus, Glonoinum, Lac defloratum, Petroleum, Staphysagria, Tabacum",King Bio Inc.,64,$181.96
682,DermaFoam E,Antiseptic handwash,Kay Chemical,75,$92.29
683,HAMSOA ATOBY MEDI,WITCH HAZEL,"HAMSOA PHARMACEUTICAL CO., LTD.",51,$187.18
684,Dolofin Infantil,Acetaminophen,"Menper Distributors, Inc.",53,$57.17
685,Fludeoxyglucose F 18,Fludeoxyglucose F 18,Washington University School of Medicine,6,$141.91
686,Medrox,"Menthol, CAPSAICIN, methyl salicylate","Pharmaceutica North America, Inc.",83,$152.11
687,Traumeel,CALENDULA OFFICINALIS FLOWERING TOP and HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK and ARNICA MONTANA ROOT and ACONITUM NAPELLUS and ATROPA BELLADONNA and BELLIS PERENNIS and MATRICARIA RECUTITA and ECH,Heel Inc,92,$138.52
688,Candida Alb,Candida Albicans,"BioActive Nutritional, Inc.",85,$32.30
689,Oxygen,Oxygen,Evergreen Supply Inc,31,$189.46
690,Benazepril Hydrochloride and Hydrochlorothiazide,benazepril hydrochloride and hydrochlorothiazide,Clinical Solutions Wholesale,9,$176.82
691,Acetaminophen And Codeine,acetaminophen and codeine phosphate,Qualitest Pharmaceuticals,7,$156.68
692,IMITREX,sumatriptan succinate,"Physicians Total Care, Inc.",85,$182.55
693,Atenolol,Atenolol,Legacy Pharmaceutical Packaging,43,$150.68
694,Afrezza,Insulin,MannKind Corporation,15,$195.79
695,Cefuroxime Axetil,Cefuroxime Axetil,Wockhardt USA LLC.,26,$84.82
696,Lipitor,atorvastatin calcium,"Physicians Total Care, Inc",24,$196.68
697,Maybelline New York,Octinoxate Octisalate Octocrylene,L'Oreal USA Products Inc,24,$68.77
698,BOTRYTIS CINEREA,BOTRYTIS CINEREA,"ALK-Abello, Inc.",75,$152.19
699,ARANESP,darbepoetin alfa,Amgen Inc,39,$64.31
700,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,American Health Packaging,63,$4.32
701,Prednisone,Prednisone,"H.J. Harkins Company, Inc.",83,$138.46
702,Opalescence PF,Sodium Fluoride and Potassium Nitrate,"Ultradent Products, Inc.",55,$20.57
703,ProCoMycin,"Bacitracin, Neomycin, Polymyxin B and Lidocain Hydrochloride",Physicians Science & Nature Inc.,56,$146.89
704,FIRST AID Plus More Quick n Clean Antiseptic Hand Wipe,BENZALKONIUM CHLORIDE,Total Resources International Inc.,30,$188.47
705,Fexofenadine Hydrochloride,Fexofenadine HCl,Carilion Materials Management,34,$188.93
706,gynazole 1,Butoconazole Nitrate,Ther-Rx Corporation,82,$38.49
707,Nivea A Kiss of Vitamin Swirl Antioxidant Enriched Lip Care,"Avobenzone, Octinoxate",Beiersdorf Inc,78,$16.81
708,Treatment Set TS332487,Treatment Set TS332487,"Antigen Laboratories, Inc.",93,$192.04
709,Acid Detox,"Argentum nitricum, Calcarea carbonica, Calcarea silicata, Calcarea sulphurica, Carbo vegetabilis, Natrum carbonicum, Natrum phosphoricum, Nux vomica, Robinia pseudoacacia, Sulphuricum acidum",King Bio Inc.,91,$38.67
710,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,American Health Packaging,42,$142.21
711,Lamotrigine,Lamotrigine,Zydus Pharmaceuticals (USA) Inc.,100,$38.42
712,care one ibuprofen ib,Ibuprofen,American Sales Company,70,$61.37
713,LBEL COULEUR LUXE AMPLIFIER XP,Octinoxate and Oxybenzone,Ventura International LTD.,16,$167.52
714,Crestor,Rosuvastatin calcium,Lake Erie Medical DBA Quality Care Products LLC,50,$16.67
715,Celadrin,Menthol,Factors Group of Nutritional Products,46,$66.66
716,ck one waterfresh face makeup spf 15,Titanium Dioxide,Coty US LLC,18,$12.93
717,Omeprazole,Omeprazole,"Preferred Pharmaceuticals, Inc.",2,$6.82
718,PHENTERMINE HYDROCHLORIDE,phentermine hydrochloride,"Physicians Total Care, Inc.",81,$144.24
719,Atropine Sulfate,Atropine Sulfate,"General Injectables & Vaccines, Inc.",11,$184.73
720,PROGESTERONE,PROGESTERONE,"Golden State Medical Supply, Inc.",30,$195.66
721,Amlodipine Besylate and Benazepril Hydrochloride,amlodipine besylate and benazepril hydrochloride,"PD-Rx Pharmaceuticals, Inc.",17,$78.62
722,ELF Tinted Moisturizer SPF 15,OXYBENZONE,J. A. Cosmetics U.S. INC,88,$147.07
723,Oxycodone Hydrochloride,Oxycodone Hydrochloride,Zydus Pharmaceuticals (USA) Inc.,51,$15.86
724,Bayer,Aspirin,Bayer Corporation Consumer Care Division,57,$52.74
725,RUMEX ACETOSELLA POLLEN,Dock Sour Sheep Sorrel,"ALK-Abello, Inc.",7,$170.97
726,Clindamycin Hydrochloride,Clindamycin Hydrochloride,Cardinal Health,17,$41.55
727,Platinum For Women,"Cyanocobalamin, Glandula suprarenalis suis, Kali carbonicum, L-carnitine, L-glutamine, L-ornithine, L-tryptophan, L-tryosine, Oophorinum,",Apotheca Company,5,$48.99
728,Nighttime,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",CVS Pharmacy,56,$165.94
729,fexofenadine hydrochloride,fexofenadine hydrochloride,Rebel Distributors Corp,71,$195.41
730,SINUS PAIN AND CONGESTION,"Acetaminophen, Chlorpheniramine maleate, Phenylephrine HCl","WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",85,$31.48
731,Brintellix,vortioxetine,"Takeda Pharmaceuticals America, Inc.",12,$73.20
732,Probenecid,Probenecid,HHS/Program Support Center/Supply Service Center,9,$75.62
733,PREMIER VALUE TRIPLE ANTIBIOTIC PLUS,"BACITRACIN ZINC, NEOMYCIN, POLYMYXIN B SULFATE, PRAMOXINE HYDROCHLORIDE","TAI GUK PHARM. CO., LTD.",68,$53.29
734,TOPCARE,BENZALKONIUM CHLORIDE,TOPCO ASSOCIATES LLC,73,$179.41
735,Pain Relief,Acetaminophen,HyVee Inc,57,$51.61
736,Senna Plus,standardized senna concentrate and docusate sodium,Cardinal Health,21,$52.12
737,BETULA LENTA POLLEN,Black Birch,"ALK-Abello, Inc.",18,$13.62
738,White Alder,White Alder,"Nelco Laboratories, Inc.",96,$118.35
739,Men Dynamics,"Octinoxate, Octisalate, Oxybenzone",Jafra Cosmetics International Inc,76,$20.01
740,GOLD CAVIAR BB,Zinc oxide,"AMI Cosmetic Co.,Ltd.",72,$83.68
741,Homeopathic HCG Formula,"Cyanocobalamin, L-carnitine, Ornithine, Human chorionic gonadotropin,",Apotheca Company,76,$46.11
742,Levetiracetam,Levetiracetam,Actavis Elizabeth LLC,47,$165.49
743,SHISEIDO WHITE LUCENT BRIGHTENING SPOT-CONTROL FOUNDATION (REFILL),OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICA INC.,90,$60.97
744,Asmanex,Mometasone Furoate,"Physicians Total Care, Inc.",72,$182.42
745,Milrinone Lactate,Milrinone Lactate,West-ward Pharmaceutical Corp,89,$197.12
746,THE YOUTH AS WE KNOW IT,"AVOBENZONE, HOMOSALATE, OCTINOXATE, OCTISALATE, OXYBENZONE",Bliss World LLC,65,$165.58
747,GOLD CAVIAR SERUM,DIMETHICONE,"SKINFOOD CO., LTD.",96,$77.40
748,Valacyclovir Hydrochloride,valacyclovir hydrochloride,Mylan Institutional Inc.,61,$140.42
749,Quetiapine Fumarate,Quetiapine Fumarate,Aurobindo Pharma Limited,51,$144.31
750,lubricating plus eye,carboxymethylcellulose sodium,Meijer Distribution Inc,35,$118.71
751,Atomy Sunscreen Beige,"Octinoxate, Octisalate, Zinc Oxide, Titanium Dioxide","ATOMY CO., LTD.",9,$39.38
752,Phineas and Ferb Sun Smacker SPF 24 Vanilla Vacation,"OCTINOXATE, OXYBENZONE, PADIMATE O",Bonne Bell LLC,98,$16.50
753,Phenylephrine Hydrochloride,Phenylephrine Hydrochloride,"American Regent, Inc.",99,$39.71
754,Dopamine HCl,Dopamine HCl,"American Regent, Inc.",1,$107.26
755,Gout Gone,"Antimoium crud, Benzoic ac, Ledum, Nux vom, Quercus, Rhododendron, Silicea","Native Remedies, LLC",18,$51.08
756,Fenofibrate,fenofibrate,"Physicians Total Care, Inc.",17,$162.37
757,Fluconazole,Fluconazole,BluePoint Laboratories,85,$9.97
758,ZO SKIN HEALTH,TITANIUM DIOXIDE and ZINC OXIDE,"ZO Skin Health, Inc.",6,$9.31
759,Ampicillin and Sulbactam,AMPICILLIN SODIUM and SULBACTAM SODIUM,"Hospira, Inc.",55,$121.77
760,Nifedipine,Nifedipine,Bryant Ranch Prepack,94,$44.18
761,V HP,"Arsenicum album, Belladonna, Echinacea (Angustifolia), Eupatorium perfoliatum, Gelsemium sempervirens, Lycopodium clavatum, Phosphoricum acidum, Phosphorus,","BioActive Nutritional, Inc.",57,$7.57
762,North Sinus Decongestant,Phenylephrine,North Safety Products,4,$124.05
763,Sunmark Chest Congestion Relief DM,Dextromethorphan Hydrobromide / Guaifenesin,McKesson,80,$141.94
764,Niaspan,Niacin,"Physicians Total Care, Inc.",70,$75.24
765,ADVANCED HYDRO-LIQUID COMPACT (REFILL),Titanium dioxide,"SHISEIDO CO., LTD.",10,$6.69
766,Covergirl Outlast Stay Fabulous 3in1 Foundation,Ensulizole,Noxell,51,$48.94
767,Warfarin Sodium,WARFARIN SODIUM,State of Florida DOH Central Pharmacy,25,$85.71
768,Carvedilol,Carvedilol,"Aphena Pharma Solutions - Tennessee, LLC",94,$127.15
769,Gehwol Fusskraft Nail and Skin Protection,Clotrimazole,Eduard Gerlach GmbH,45,$36.39
770,Hydrocortisone,Hydrocortisone,REMEDYREPACK INC.,36,$162.03
771,Milrinone Lactate,Milrinone Lactate,Bedford Laboratories,7,$172.13
772,Orphenadrine Citrate,Orphenadrine Citrate,"Dispensing Solutions, Inc.",60,$39.93
773,Cetirizine Hydrochloride,Cetirizine Hydrochloride,"Caraco Pharmaceutical Laboratories, Ltd.",65,$148.77
774,Heparin Sodium,Heparin Sodium,"General Injectables & Vaccines, Inc",96,$53.47
775,EXALGO,Hydromorphone Hydrochloride,"Physicians Total Care, Inc.",99,$133.55
776,Morgidox,doxycycline hyclate,"Medimetriks Pharmaceuticals, Inc.",16,$95.21
777,Poppyseed,Poppyseed,"Nelco Laboratories, Inc.",91,$69.98
778,NUCYNTA,tapentadol hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,45,$44.70
779,Equaline Stomach Relief,Bismuth subsalicylate,Supervalu Inc,36,$127.14
780,Serotonin,Serotonin,BioActive Nutritional,87,$82.53
781,MANICURE BY OPI - FINISHING BUTTER,"OCTINOXATE, OXYBENZONE","OPI Products, Inc",68,$78.00
782,promethazine hydrochloride,promethazine hydrochloride,"Preferred Pharmaceuticals, Inc.",93,$155.13
783,Oxygen,Oxygen,Nor-Lea Hospital District dba Nor-Lea Home Medical,11,$196.13
784,Ultrasol,"Avobenzone, Octinoxate, Octisalate, Oxybenzone",Fischer Pharmaceuticals Ltd,68,$127.57
785,Arthritis Pain Reliever,Acetaminophen,Aidarex Pharmaceuticals LLC,72,$34.53
786,Allergy and Congestion Relief,"Loratadine, Pseudoephedrine",Rite Aid Corporation,25,$80.31
787,Ammonia Inhalants,Ammonia Inhalants,James Alexander Corporation,65,$144.35
788,Hepapar,"Carduus marianus, Chelidonium majus, Taraxacum officinale",Apotheca Company,52,$175.58
789,Morphine Sulfate,Morphine Sulfate,Lake Erie Medical DBA Quality Care Products LLC,10,$126.71
790,Acyclovir,Acyclovir,Atlantic Biologicals Corps,79,$148.98
791,Stool Softener,DOCUSATE SODIUM,TOP CARE (Topco Associates LLC),54,$132.71
792,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,Legacy Pharmaceutical Packaging,31,$108.18
793,Hydroxyzine Hydrochloride,hydroxyzine hydrochloride,Qualitest Pharmaceuticals,29,$119.20
794,Carvedilol,Carvedilol,REMEDYREPACK INC.,92,$33.12
795,Imipenem and Cilastatin,IMIPENEM and CILASTATIN SODIUM,"Hospira, Inc.",26,$21.44
